x-axis,1,2,3
second,Volt,Volt,Volt
+10.5600E-03,+3.0625000E+00,+2.3000000E+00,+2.2437501E+00
+10.5700E-03,+3.3125000E+00,+2.3000000E+00,+2.3375001E+00
+10.5800E-03,+3.1875000E+00,+2.3312500E+00,+2.5562501E+00
+10.5900E-03,+2.9375000E+00,+2.4250000E+00,+2.6812501E+00
+10.6000E-03,+2.9062500E+00,+2.5187500E+00,+2.8062501E+00
+10.6100E-03,+2.8125000E+00,+2.6125000E+00,+2.9312501E+00
+10.6200E-03,+2.8125000E+00,+2.6750000E+00,+2.9625001E+00
+10.6300E-03,+2.7187500E+00,+2.7687500E+00,+2.9625001E+00
+10.6400E-03,+2.6875000E+00,+2.8312500E+00,+3.0250001E+00
+10.6500E-03,+2.6250000E+00,+2.8937500E+00,+2.9625001E+00
+10.6600E-03,+2.5625000E+00,+2.9250000E+00,+2.9312501E+00
+10.6700E-03,+2.5000000E+00,+2.8937500E+00,+2.8687501E+00
+10.6800E-03,+2.5000000E+00,+2.8625000E+00,+2.8062501E+00
+10.6900E-03,+2.3750000E+00,+2.8312500E+00,+2.7125001E+00
+10.7000E-03,+2.3125000E+00,+2.8000000E+00,+2.6187501E+00
+10.7100E-03,+2.2812500E+00,+2.7375000E+00,+2.5250001E+00
+10.7200E-03,+2.2187500E+00,+2.6750000E+00,+2.4000001E+00
+10.7300E-03,+2.1562500E+00,+2.5500000E+00,+2.3062501E+00
+10.7400E-03,+2.0625000E+00,+2.4875000E+00,+2.2437501E+00
+10.7500E-03,+2.0000000E+00,+2.3937500E+00,+2.1187501E+00
+10.7600E-03,+1.9375000E+00,+2.3312500E+00,+2.0250001E+00
+10.7700E-03,+1.9062500E+00,+2.2375000E+00,+1.9937501E+00
+10.7800E-03,+1.8750000E+00,+2.1125000E+00,+1.8687501E+00
+10.7900E-03,+1.8125000E+00,+2.0187500E+00,+1.8062501E+00
+10.8000E-03,+1.7500000E+00,+1.9562500E+00,+1.7437501E+00
+10.8100E-03,+1.6875000E+00,+1.9250000E+00,+1.7125001E+00
+10.8200E-03,+1.6875000E+00,+1.8312500E+00,+1.6187501E+00
+10.8300E-03,+1.6562500E+00,+1.7687500E+00,+1.5875001E+00
+10.8400E-03,+1.5937500E+00,+1.7375000E+00,+1.5562501E+00
+10.8500E-03,+1.5625000E+00,+1.6750000E+00,+1.5250001E+00
+10.8600E-03,+1.5312500E+00,+1.6125000E+00,+1.4937501E+00
+10.8700E-03,+1.5000000E+00,+1.5812500E+00,+1.4937501E+00
+10.8800E-03,+1.5000000E+00,+1.5500000E+00,+1.4312501E+00
+10.8900E-03,+1.5000000E+00,+1.5187500E+00,+1.4937501E+00
+10.9000E-03,+1.5000000E+00,+1.4875000E+00,+1.4312501E+00
+10.9100E-03,+1.5000000E+00,+1.4562500E+00,+1.4312501E+00
+10.9200E-03,+1.5000000E+00,+1.4562500E+00,+1.4000001E+00
+10.9300E-03,+1.5312500E+00,+1.4250000E+00,+1.4625001E+00
+10.9400E-03,+1.5625000E+00,+1.4250000E+00,+1.4625001E+00
+10.9500E-03,+1.5625000E+00,+1.4562500E+00,+1.4625001E+00
+10.9600E-03,+1.5937500E+00,+1.4562500E+00,+1.5250001E+00
+10.9700E-03,+1.6250000E+00,+1.5187500E+00,+1.5250001E+00
+10.9800E-03,+1.6875000E+00,+1.4875000E+00,+1.5562501E+00
+10.9900E-03,+1.7187500E+00,+1.5187500E+00,+1.6500001E+00
+11.0000E-03,+1.8125000E+00,+1.5187500E+00,+1.6500001E+00
+11.0100E-03,+1.8125000E+00,+1.5812500E+00,+1.7125001E+00
+11.0200E-03,+1.9062500E+00,+1.6125000E+00,+1.8062501E+00
+11.0300E-03,+1.9687500E+00,+1.7062500E+00,+1.8687501E+00
+11.0400E-03,+2.0312500E+00,+1.7687500E+00,+1.9000001E+00
+11.0500E-03,+2.0937500E+00,+1.8312500E+00,+1.9937501E+00
+11.0600E-03,+2.1875000E+00,+1.8312500E+00,+2.0562501E+00
+11.0700E-03,+2.2812500E+00,+1.9250000E+00,+2.1500001E+00
+11.0800E-03,+2.3437500E+00,+1.9875000E+00,+2.2437501E+00
+11.0900E-03,+2.4375000E+00,+2.0812500E+00,+2.3687501E+00
+11.1000E-03,+2.5000000E+00,+2.1750000E+00,+2.4000001E+00
+11.1100E-03,+2.6562500E+00,+2.2375000E+00,+2.5250001E+00
+11.1200E-03,+2.6875000E+00,+2.3000000E+00,+2.6187501E+00
+11.1300E-03,+2.7500000E+00,+2.3937500E+00,+2.7125001E+00
+11.1400E-03,+2.8437500E+00,+2.4875000E+00,+2.7750001E+00
