x-axis,1,2,3
second,Volt,Volt,Volt
+15.45000E-03,+3.34375000E+00,+3.19374990E+00,+3.40000010E+00
+15.46000E-03,+3.28125000E+00,+3.28749990E+00,+3.43125010E+00
+15.47000E-03,+3.31250000E+00,+3.31874990E+00,+3.46250010E+00
+15.48000E-03,+3.31250000E+00,+3.38124990E+00,+3.52500010E+00
+15.49000E-03,+3.28125000E+00,+3.38124990E+00,+3.49375010E+00
+15.50000E-03,+3.34375000E+00,+3.44374990E+00,+3.49375010E+00
+15.51000E-03,+3.28125000E+00,+3.47499990E+00,+3.46250010E+00
+15.52000E-03,+3.25000000E+00,+3.44374990E+00,+3.43125010E+00
+15.53000E-03,+3.15625000E+00,+3.44374990E+00,+3.33750010E+00
+15.54000E-03,+3.12500000E+00,+3.44374990E+00,+3.33750010E+00
+15.55000E-03,+3.03125000E+00,+3.38124990E+00,+3.30625010E+00
+15.56000E-03,+2.96875000E+00,+3.38124990E+00,+3.21250010E+00
+15.57000E-03,+2.84375000E+00,+3.28749990E+00,+3.11875010E+00
+15.58000E-03,+2.78125000E+00,+3.25624990E+00,+3.02500010E+00
+15.59000E-03,+2.65625000E+00,+3.13124990E+00,+2.93125010E+00
+15.60000E-03,+2.56250000E+00,+3.09999990E+00,+2.80625010E+00
+15.61000E-03,+2.46875000E+00,+3.00624990E+00,+2.68125010E+00
+15.62000E-03,+2.37500000E+00,+2.84999990E+00,+2.55625010E+00
+15.63000E-03,+2.25000000E+00,+2.75624990E+00,+2.43125010E+00
+15.64000E-03,+2.15625000E+00,+2.63124990E+00,+2.30625010E+00
+15.65000E-03,+2.03125000E+00,+2.56874990E+00,+2.18125010E+00
+15.66000E-03,+1.96875000E+00,+2.41249990E+00,+2.08750010E+00
+15.67000E-03,+1.87500000E+00,+2.28749990E+00,+1.93125010E+00
+15.68000E-03,+1.78125000E+00,+2.16249990E+00,+1.80625010E+00
+15.69000E-03,+1.68750000E+00,+2.06874990E+00,+1.74375010E+00
+15.70000E-03,+1.62500000E+00,+1.94374990E+00,+1.61875010E+00
+15.71000E-03,+1.56250000E+00,+1.91249990E+00,+1.55625010E+00
+15.72000E-03,+1.56250000E+00,+1.78749990E+00,+1.46250010E+00
+15.73000E-03,+1.50000000E+00,+1.69374990E+00,+1.40000010E+00
+15.74000E-03,+1.50000000E+00,+1.59999990E+00,+1.33750010E+00
+15.75000E-03,+1.46875000E+00,+1.50624990E+00,+1.33750010E+00
+15.76000E-03,+1.50000000E+00,+1.41249990E+00,+1.30625010E+00
+15.77000E-03,+1.56250000E+00,+1.41249990E+00,+1.33750010E+00
+15.78000E-03,+1.56250000E+00,+1.38124990E+00,+1.33750010E+00
+15.79000E-03,+1.65625000E+00,+1.38124990E+00,+1.36875010E+00
+15.80000E-03,+1.68750000E+00,+1.38124990E+00,+1.36875010E+00
+15.81000E-03,+1.78125000E+00,+1.38124990E+00,+1.46250010E+00
+15.82000E-03,+1.87500000E+00,+1.44374990E+00,+1.52500010E+00
+15.83000E-03,+1.93750000E+00,+1.47499990E+00,+1.65000010E+00
+15.84000E-03,+2.09375000E+00,+1.53749990E+00,+1.77500010E+00
+15.85000E-03,+2.15625000E+00,+1.59999990E+00,+1.90000010E+00
+15.86000E-03,+2.28125000E+00,+1.75624990E+00,+2.02500010E+00
+15.87000E-03,+2.43750000E+00,+1.81874990E+00,+2.15000010E+00
+15.88000E-03,+2.56250000E+00,+1.94374990E+00,+2.30625010E+00
+15.89000E-03,+2.65625000E+00,+2.09999990E+00,+2.46250010E+00
