x-axis,1,2,3
second,Volt,Volt,Volt
+3.59000E-03,+1.53125000E+00,+1.70624995E+00,+1.49375010E+00
+3.60000E-03,+1.50000000E+00,+1.67499995E+00,+1.43125010E+00
+3.61000E-03,+1.50000000E+00,+1.58124995E+00,+1.43125010E+00
+3.62000E-03,+1.50000000E+00,+1.51874995E+00,+1.40000010E+00
+3.63000E-03,+1.50000000E+00,+1.48749995E+00,+1.36875010E+00
+3.64000E-03,+1.56250000E+00,+1.45624995E+00,+1.36875010E+00
+3.65000E-03,+1.50000000E+00,+1.45624995E+00,+1.36875010E+00
+3.66000E-03,+1.56250000E+00,+1.42499995E+00,+1.40000010E+00
+3.67000E-03,+1.59375000E+00,+1.42499995E+00,+1.40000010E+00
+3.68000E-03,+1.68750000E+00,+1.42499995E+00,+1.46250010E+00
+3.69000E-03,+1.78125000E+00,+1.45624995E+00,+1.55625010E+00
+3.70000E-03,+1.84375000E+00,+1.48749995E+00,+1.61875010E+00
+3.71000E-03,+1.93750000E+00,+1.54999995E+00,+1.68125010E+00
+3.72000E-03,+2.03125000E+00,+1.61249995E+00,+1.83750010E+00
+3.73000E-03,+2.12500000E+00,+1.64374995E+00,+1.93125010E+00
+3.74000E-03,+2.25000000E+00,+1.73749995E+00,+2.02500010E+00
+3.75000E-03,+2.28125000E+00,+1.83124995E+00,+2.11875010E+00
+3.76000E-03,+2.43750000E+00,+1.89374995E+00,+2.24375010E+00
+3.77000E-03,+2.53125000E+00,+1.98749995E+00,+2.36875010E+00
+3.78000E-03,+2.65625000E+00,+2.14374995E+00,+2.49375010E+00
+3.79000E-03,+2.78125000E+00,+2.20624995E+00,+2.61875010E+00
+3.80000E-03,+2.84375000E+00,+2.36249995E+00,+2.74375010E+00
+3.81000E-03,+2.93750000E+00,+2.48749995E+00,+2.90000010E+00
+3.82000E-03,+3.09375000E+00,+2.61249995E+00,+2.99375010E+00
+3.83000E-03,+3.12500000E+00,+2.73749995E+00,+3.08750010E+00
+3.84000E-03,+3.15625000E+00,+2.86249995E+00,+3.21250010E+00
+3.85000E-03,+3.21875000E+00,+2.95624995E+00,+3.30625010E+00
+3.86000E-03,+3.31250000E+00,+3.08124995E+00,+3.40000010E+00
+3.87000E-03,+3.34375000E+00,+3.14374995E+00,+3.46250010E+00
+3.88000E-03,+3.31250000E+00,+3.23749995E+00,+3.52500010E+00
+3.89000E-03,+3.31250000E+00,+3.33124995E+00,+3.55625010E+00
+3.90000E-03,+3.37500000E+00,+3.36249995E+00,+3.55625010E+00
+3.91000E-03,+3.34375000E+00,+3.42499995E+00,+3.55625010E+00
+3.92000E-03,+3.25000000E+00,+3.45624995E+00,+3.55625010E+00
+3.93000E-03,+3.18750000E+00,+3.45624995E+00,+3.52500010E+00
+3.94000E-03,+3.12500000E+00,+3.48749995E+00,+3.46250010E+00
+3.95000E-03,+3.12500000E+00,+3.48749995E+00,+3.43125010E+00
+3.96000E-03,+3.03125000E+00,+3.45624995E+00,+3.33750010E+00
+3.97000E-03,+2.87500000E+00,+3.39374995E+00,+3.27500010E+00
+3.98000E-03,+2.78125000E+00,+3.33124995E+00,+3.15000010E+00
+3.99000E-03,+2.71875000E+00,+3.26874995E+00,+3.02500010E+00
+4.00000E-03,+2.56250000E+00,+3.17499995E+00,+2.90000010E+00
+4.01000E-03,+2.43750000E+00,+3.11249995E+00,+2.77500010E+00
+4.02000E-03,+2.28125000E+00,+2.95624995E+00,+2.61875010E+00
+4.03000E-03,+2.21875000E+00,+2.86249995E+00,+2.46250010E+00
+4.04000E-03,+2.09375000E+00,+2.70624995E+00,+2.30625010E+00
+4.05000E-03,+2.00000000E+00,+2.58124995E+00,+2.15000010E+00
+4.06000E-03,+1.84375000E+00,+2.45624995E+00,+2.02500010E+00
+4.07000E-03,+1.75000000E+00,+2.33124995E+00,+1.90000010E+00
+4.08000E-03,+1.68750000E+00,+2.17499995E+00,+1.77500010E+00
+4.09000E-03,+1.59375000E+00,+2.01874995E+00,+1.65000010E+00
+4.10000E-03,+1.53125000E+00,+1.92499995E+00,+1.52500010E+00
+4.11000E-03,+1.53125000E+00,+1.79999995E+00,+1.46250010E+00
+4.12000E-03,+1.46875000E+00,+1.70624995E+00,+1.36875010E+00
+4.13000E-03,+1.46875000E+00,+1.61249995E+00,+1.30625010E+00
+4.14000E-03,+1.50000000E+00,+1.54999995E+00,+1.27500010E+00
+4.15000E-03,+1.50000000E+00,+1.45624995E+00,+1.27500010E+00
+4.16000E-03,+1.59375000E+00,+1.42499995E+00,+1.27500010E+00
+4.17000E-03,+1.62500000E+00,+1.39374995E+00,+1.33750010E+00
+4.18000E-03,+1.71875000E+00,+1.39374995E+00,+1.36875010E+00
