x-axis,1,2,3
second,Volt,Volt,Volt
+7.2700E-03,+2.1562500E+00,+1.8000000E+00,+1.9937501E+00
+7.2800E-03,+2.2500000E+00,+1.9250000E+00,+2.0875001E+00
+7.2900E-03,+2.3437500E+00,+1.9250000E+00,+2.2437501E+00
+7.3000E-03,+2.4375000E+00,+2.0500000E+00,+2.3687501E+00
+7.3100E-03,+2.5312500E+00,+2.2062500E+00,+2.4625001E+00
+7.3200E-03,+2.6562500E+00,+2.3000000E+00,+2.5562501E+00
+7.3300E-03,+2.7500000E+00,+2.3937500E+00,+2.6812501E+00
+7.3400E-03,+2.8750000E+00,+2.4875000E+00,+2.7437501E+00
+7.3500E-03,+2.9062500E+00,+2.6437500E+00,+2.8375001E+00
+7.3600E-03,+3.0625000E+00,+2.7062500E+00,+2.9937501E+00
+7.3700E-03,+3.0937500E+00,+2.8625000E+00,+3.0875001E+00
+7.3800E-03,+3.1875000E+00,+2.9562500E+00,+3.1500001E+00
+7.3900E-03,+3.2187500E+00,+3.0187500E+00,+3.2437501E+00
+7.4000E-03,+3.2500000E+00,+3.1125000E+00,+3.3375001E+00
+7.4100E-03,+3.3125000E+00,+3.2375000E+00,+3.4000001E+00
+7.4200E-03,+3.3125000E+00,+3.3000000E+00,+3.4312501E+00
+7.4300E-03,+3.3437500E+00,+3.3625000E+00,+3.4625001E+00
+7.4400E-03,+3.3125000E+00,+3.3937500E+00,+3.4937501E+00
+7.4500E-03,+3.3125000E+00,+3.3937500E+00,+3.4937501E+00
+7.4600E-03,+3.2812500E+00,+3.4875000E+00,+3.5250001E+00
+7.4700E-03,+3.2500000E+00,+3.4875000E+00,+3.4625001E+00
+7.4800E-03,+3.1562500E+00,+3.4250000E+00,+3.4312501E+00
+7.4900E-03,+3.1562500E+00,+3.4250000E+00,+3.4000001E+00
+7.5000E-03,+3.0625000E+00,+3.4250000E+00,+3.3062501E+00
+7.5100E-03,+2.9375000E+00,+3.3312500E+00,+3.2125001E+00
+7.5200E-03,+2.9062500E+00,+3.2687500E+00,+3.1187501E+00
+7.5300E-03,+2.7812500E+00,+3.2062500E+00,+3.0250001E+00
+7.5400E-03,+2.6562500E+00,+3.1125000E+00,+2.9312501E+00
+7.5500E-03,+2.5625000E+00,+3.0187500E+00,+2.7437501E+00
+7.5600E-03,+2.4375000E+00,+2.9250000E+00,+2.6500001E+00
+7.5700E-03,+2.2812500E+00,+2.8000000E+00,+2.5250001E+00
+7.5800E-03,+2.2187500E+00,+2.7062500E+00,+2.3687501E+00
+7.5900E-03,+2.0937500E+00,+2.5500000E+00,+2.2437501E+00
+7.6000E-03,+2.0312500E+00,+2.4250000E+00,+2.0875001E+00
+7.6100E-03,+1.8750000E+00,+2.2687500E+00,+2.0250001E+00
+7.6200E-03,+1.8125000E+00,+2.1437500E+00,+1.9000001E+00
+7.6300E-03,+1.7187500E+00,+2.0187500E+00,+1.7750001E+00
+7.6400E-03,+1.5937500E+00,+1.8937500E+00,+1.6187501E+00
+7.6500E-03,+1.5937500E+00,+1.7687500E+00,+1.5250001E+00
+7.6600E-03,+1.5000000E+00,+1.7375000E+00,+1.4625001E+00
+7.6700E-03,+1.5000000E+00,+1.6125000E+00,+1.4000001E+00
+7.6800E-03,+1.4687500E+00,+1.4875000E+00,+1.3375001E+00
+7.6900E-03,+1.5312500E+00,+1.4562500E+00,+1.3062501E+00
+7.7000E-03,+1.5312500E+00,+1.4250000E+00,+1.3375001E+00
+7.7100E-03,+1.5312500E+00,+1.3937500E+00,+1.3375001E+00
+7.7200E-03,+1.5937500E+00,+1.3937500E+00,+1.3687501E+00
+7.7300E-03,+1.6875000E+00,+1.3937500E+00,+1.4000001E+00
+7.7400E-03,+1.7500000E+00,+1.4250000E+00,+1.4937501E+00
+7.7500E-03,+1.8750000E+00,+1.4562500E+00,+1.5875001E+00
+7.7600E-03,+1.9062500E+00,+1.5187500E+00,+1.6812501E+00
+7.7700E-03,+2.0625000E+00,+1.6125000E+00,+1.8062501E+00
+7.7800E-03,+2.1562500E+00,+1.7062500E+00,+1.9000001E+00
+7.7900E-03,+2.2812500E+00,+1.8312500E+00,+2.0562501E+00
+7.8000E-03,+2.4375000E+00,+1.9250000E+00,+2.2125001E+00
+7.8100E-03,+2.5625000E+00,+2.0500000E+00,+2.3687501E+00
+7.8200E-03,+2.7187500E+00,+2.2375000E+00,+2.5250001E+00
+7.8300E-03,+2.8437500E+00,+2.3625000E+00,+2.6500001E+00
+7.8400E-03,+2.9375000E+00,+2.4875000E+00,+2.8062501E+00
+7.8500E-03,+3.0312500E+00,+2.6125000E+00,+2.9625001E+00
+7.8600E-03,+3.1250000E+00,+2.8000000E+00,+3.1187501E+00
+7.8700E-03,+3.2187500E+00,+2.9250000E+00,+3.2437501E+00
+7.8800E-03,+3.2500000E+00,+3.0812500E+00,+3.3375001E+00
+7.8900E-03,+3.2812500E+00,+3.2062500E+00,+3.4312501E+00
+7.9000E-03,+3.3437500E+00,+3.2375000E+00,+3.5562501E+00
+7.9100E-03,+3.3437500E+00,+3.3312500E+00,+3.5562501E+00
+7.9200E-03,+3.3125000E+00,+3.4562500E+00,+3.5875001E+00
+7.9300E-03,+3.2812500E+00,+3.4875000E+00,+3.5875001E+00
+7.9400E-03,+3.2500000E+00,+3.4875000E+00,+3.5562501E+00
+7.9500E-03,+3.1562500E+00,+3.5500000E+00,+3.4937501E+00
+7.9600E-03,+3.0625000E+00,+3.4875000E+00,+3.4625001E+00
+7.9700E-03,+2.9687500E+00,+3.4250000E+00,+3.3687501E+00
+7.9800E-03,+2.9062500E+00,+3.3937500E+00,+3.2437501E+00
+7.9900E-03,+2.7500000E+00,+3.2687500E+00,+3.0875001E+00
+8.0000E-03,+2.5625000E+00,+3.2062500E+00,+2.9625001E+00
+8.0100E-03,+2.4687500E+00,+3.0500000E+00,+2.8062501E+00
+8.0200E-03,+2.3125000E+00,+2.9562500E+00,+2.6187501E+00
+8.0300E-03,+2.1562500E+00,+2.8000000E+00,+2.4937501E+00
+8.0400E-03,+2.0625000E+00,+2.6437500E+00,+2.2750001E+00
+8.0500E-03,+1.9375000E+00,+2.4875000E+00,+2.0875001E+00
+8.0600E-03,+1.7812500E+00,+2.3312500E+00,+1.9625001E+00
+8.0700E-03,+1.7187500E+00,+2.1750000E+00,+1.8062501E+00
+8.0800E-03,+1.6250000E+00,+1.9875000E+00,+1.6500001E+00
+8.0900E-03,+1.5625000E+00,+1.8312500E+00,+1.5562501E+00
+8.1000E-03,+1.5312500E+00,+1.7062500E+00,+1.4625001E+00
+8.1100E-03,+1.5000000E+00,+1.5812500E+00,+1.3375001E+00
+8.1200E-03,+1.4687500E+00,+1.5187500E+00,+1.3062501E+00
+8.1300E-03,+1.5000000E+00,+1.4562500E+00,+1.3062501E+00
+8.1400E-03,+1.5312500E+00,+1.3625000E+00,+1.2750001E+00
+8.1500E-03,+1.6250000E+00,+1.3312500E+00,+1.3375001E+00
+8.1600E-03,+1.7187500E+00,+1.3312500E+00,+1.3687501E+00
+8.1700E-03,+1.8437500E+00,+1.3937500E+00,+1.4312501E+00
+8.1800E-03,+1.9687500E+00,+1.3937500E+00,+1.5562501E+00
+8.1900E-03,+2.0937500E+00,+1.4875000E+00,+1.6812501E+00
+8.2000E-03,+2.2187500E+00,+1.6125000E+00,+1.8687501E+00
+8.2100E-03,+2.3750000E+00,+1.7375000E+00,+1.9937501E+00
+8.2200E-03,+2.5312500E+00,+1.8312500E+00,+2.1812501E+00
+8.2300E-03,+2.6562500E+00,+1.9875000E+00,+2.4000001E+00
+8.2400E-03,+2.8125000E+00,+2.1750000E+00,+2.5875001E+00
+8.2500E-03,+2.9375000E+00,+2.3625000E+00,+2.7437501E+00
+8.2600E-03,+3.0312500E+00,+2.5500000E+00,+2.9625001E+00
+8.2700E-03,+3.1875000E+00,+2.7687500E+00,+3.1187501E+00
+8.2800E-03,+3.2812500E+00,+2.8937500E+00,+3.2750001E+00
+8.2900E-03,+3.2812500E+00,+3.0500000E+00,+3.4312501E+00
+8.3000E-03,+3.3125000E+00,+3.1750000E+00,+3.4937501E+00
+8.3100E-03,+3.3750000E+00,+3.3000000E+00,+3.6187501E+00
+8.3200E-03,+3.3125000E+00,+3.4250000E+00,+3.6187501E+00
+8.3300E-03,+3.2812500E+00,+3.4875000E+00,+3.6500001E+00
+8.3400E-03,+3.2500000E+00,+3.5500000E+00,+3.6500001E+00
+8.3500E-03,+3.1250000E+00,+3.5500000E+00,+3.5875001E+00
+8.3600E-03,+3.0000000E+00,+3.5500000E+00,+3.4937501E+00
+8.3700E-03,+2.8437500E+00,+3.4875000E+00,+3.3687501E+00
+8.3800E-03,+2.7187500E+00,+3.3937500E+00,+3.2437501E+00
+8.3900E-03,+2.5625000E+00,+3.3312500E+00,+3.0250001E+00
+8.4000E-03,+2.4375000E+00,+3.1750000E+00,+2.8687501E+00
+8.4100E-03,+2.2187500E+00,+3.0187500E+00,+2.6500001E+00
+8.4200E-03,+2.0625000E+00,+2.8312500E+00,+2.4625001E+00
+8.4300E-03,+1.9687500E+00,+2.6750000E+00,+2.2125001E+00
+8.4400E-03,+1.8437500E+00,+2.4562500E+00,+2.0250001E+00
+8.4500E-03,+1.6875000E+00,+2.3000000E+00,+1.8375001E+00
+8.4600E-03,+1.5937500E+00,+2.0812500E+00,+1.6500001E+00
+8.4700E-03,+1.5312500E+00,+1.8937500E+00,+1.4937501E+00
+8.4800E-03,+1.5000000E+00,+1.7375000E+00,+1.3687501E+00
+8.4900E-03,+1.4687500E+00,+1.5812500E+00,+1.2750001E+00
+8.5000E-03,+1.4687500E+00,+1.4875000E+00,+1.2437501E+00
+8.5100E-03,+1.5312500E+00,+1.3937500E+00,+1.2125001E+00
+8.5200E-03,+1.6562500E+00,+1.3312500E+00,+1.2437501E+00
+8.5300E-03,+1.7500000E+00,+1.3000000E+00,+1.2750001E+00
+8.5400E-03,+1.8437500E+00,+1.3625000E+00,+1.4000001E+00
+8.5500E-03,+2.0000000E+00,+1.3625000E+00,+1.4937501E+00
+8.5600E-03,+2.1250000E+00,+1.4250000E+00,+1.6500001E+00
+8.5700E-03,+2.3125000E+00,+1.5500000E+00,+1.8375001E+00
+8.5800E-03,+2.4687500E+00,+1.6750000E+00,+2.0875001E+00
+8.5900E-03,+2.6250000E+00,+1.8625000E+00,+2.3062501E+00
+8.6000E-03,+2.8125000E+00,+2.0500000E+00,+2.4937501E+00
+8.6100E-03,+2.9687500E+00,+2.2687500E+00,+2.6812501E+00
+8.6200E-03,+3.1250000E+00,+2.4562500E+00,+2.9312501E+00
+8.6300E-03,+3.2187500E+00,+2.6750000E+00,+3.1500001E+00
+8.6400E-03,+3.2500000E+00,+2.8625000E+00,+3.3062501E+00
+8.6500E-03,+3.3437500E+00,+3.0500000E+00,+3.4937501E+00
+8.6600E-03,+3.3750000E+00,+3.2062500E+00,+3.5562501E+00
+8.6700E-03,+3.2812500E+00,+3.3625000E+00,+3.6812501E+00
+8.6800E-03,+3.3125000E+00,+3.4562500E+00,+3.7125001E+00
+8.6900E-03,+3.1875000E+00,+3.5500000E+00,+3.7125001E+00
+8.7000E-03,+3.1250000E+00,+3.5812500E+00,+3.6500001E+00
+8.7100E-03,+2.9375000E+00,+3.5812500E+00,+3.5562501E+00
+8.7200E-03,+2.8125000E+00,+3.5500000E+00,+3.4000001E+00
+8.7300E-03,+2.5937500E+00,+3.4562500E+00,+3.2437501E+00
+8.7400E-03,+2.4687500E+00,+3.3625000E+00,+3.0562501E+00
+8.7500E-03,+2.3125000E+00,+3.2062500E+00,+2.8375001E+00
+8.7600E-03,+2.1250000E+00,+2.9875000E+00,+2.5562501E+00
+8.7700E-03,+1.9062500E+00,+2.8312500E+00,+2.3375001E+00
+8.7800E-03,+1.7812500E+00,+2.6125000E+00,+2.1187501E+00
+8.7900E-03,+1.6875000E+00,+2.3625000E+00,+1.8687501E+00
+8.8000E-03,+1.6250000E+00,+2.1437500E+00,+1.6812501E+00
+8.8100E-03,+1.5312500E+00,+1.9875000E+00,+1.4937501E+00
+8.8200E-03,+1.4687500E+00,+1.7687500E+00,+1.3687501E+00
+8.8300E-03,+1.4687500E+00,+1.6125000E+00,+1.2125001E+00
+8.8400E-03,+1.5312500E+00,+1.4562500E+00,+1.1812501E+00
+8.8500E-03,+1.6250000E+00,+1.3625000E+00,+1.1812501E+00
+8.8600E-03,+1.7500000E+00,+1.3000000E+00,+1.2125001E+00
+8.8700E-03,+1.8750000E+00,+1.3000000E+00,+1.2750001E+00
+8.8800E-03,+2.0312500E+00,+1.3000000E+00,+1.4000001E+00
+8.8900E-03,+2.2187500E+00,+1.3625000E+00,+1.6187501E+00
+8.9000E-03,+2.4062500E+00,+1.4875000E+00,+1.8062501E+00
+8.9100E-03,+2.5937500E+00,+1.6437500E+00,+1.9937501E+00
+8.9200E-03,+2.7500000E+00,+1.8000000E+00,+2.2437501E+00
+8.9300E-03,+2.9375000E+00,+2.0187500E+00,+2.5250001E+00
+8.9400E-03,+3.0312500E+00,+2.2375000E+00,+2.7750001E+00
+8.9500E-03,+3.1562500E+00,+2.4875000E+00,+3.0250001E+00
+8.9600E-03,+3.2812500E+00,+2.7375000E+00,+3.2437501E+00
+8.9700E-03,+3.3125000E+00,+2.9562500E+00,+3.4625001E+00
+8.9800E-03,+3.3125000E+00,+3.1750000E+00,+3.5562501E+00
+8.9900E-03,+3.3125000E+00,+3.3000000E+00,+3.6812501E+00
+9.0000E-03,+3.2187500E+00,+3.4562500E+00,+3.7437501E+00
+9.0100E-03,+3.1875000E+00,+3.5187500E+00,+3.7125001E+00
+9.0200E-03,+3.0312500E+00,+3.6125000E+00,+3.6812501E+00
+9.0300E-03,+2.8437500E+00,+3.5812500E+00,+3.5875001E+00
+9.0400E-03,+2.6562500E+00,+3.5812500E+00,+3.4000001E+00
+9.0500E-03,+2.5000000E+00,+3.4250000E+00,+3.2125001E+00
+9.0600E-03,+2.2812500E+00,+3.3000000E+00,+2.9625001E+00
+9.0700E-03,+2.0937500E+00,+3.1437500E+00,+2.7125001E+00
+9.0800E-03,+1.9062500E+00,+2.9562500E+00,+2.4625001E+00
+9.0900E-03,+1.7812500E+00,+2.6750000E+00,+2.1812501E+00
+9.1000E-03,+1.6875000E+00,+2.4562500E+00,+1.9625001E+00
+9.1100E-03,+1.5625000E+00,+2.2062500E+00,+1.7125001E+00
+9.1200E-03,+1.4687500E+00,+1.9875000E+00,+1.4937501E+00
+9.1300E-03,+1.5000000E+00,+1.8000000E+00,+1.3062501E+00
+9.1400E-03,+1.5312500E+00,+1.5500000E+00,+1.2125001E+00
+9.1500E-03,+1.5625000E+00,+1.4250000E+00,+1.1500001E+00
+9.1600E-03,+1.6875000E+00,+1.3000000E+00,+1.1187501E+00
+9.1700E-03,+1.8437500E+00,+1.2687500E+00,+1.1812501E+00
+9.1800E-03,+2.0000000E+00,+1.2687500E+00,+1.3062501E+00
+9.1900E-03,+2.2187500E+00,+1.3312500E+00,+1.4937501E+00
+9.2000E-03,+2.3750000E+00,+1.3937500E+00,+1.6812501E+00
+9.2100E-03,+2.6250000E+00,+1.5812500E+00,+1.9312501E+00
+9.2200E-03,+2.8125000E+00,+1.7687500E+00,+2.2437501E+00
+9.2300E-03,+3.0000000E+00,+1.9562500E+00,+2.4937501E+00
+9.2400E-03,+3.1562500E+00,+2.2062500E+00,+2.7437501E+00
+9.2500E-03,+3.2500000E+00,+2.4875000E+00,+3.0562501E+00
+9.2600E-03,+3.3125000E+00,+2.7375000E+00,+3.3062501E+00
+9.2700E-03,+3.3125000E+00,+2.9562500E+00,+3.4937501E+00
+9.2800E-03,+3.3125000E+00,+3.1750000E+00,+3.6500001E+00
+9.2900E-03,+3.2500000E+00,+3.3625000E+00,+3.7125001E+00
+9.3000E-03,+3.1562500E+00,+3.4875000E+00,+3.7750001E+00
+9.3100E-03,+3.0312500E+00,+3.5812500E+00,+3.7437501E+00
+9.3200E-03,+2.8750000E+00,+3.6125000E+00,+3.6500001E+00
+9.3300E-03,+2.6562500E+00,+3.6125000E+00,+3.4625001E+00
+9.3400E-03,+2.4062500E+00,+3.5187500E+00,+3.2437501E+00
+9.3500E-03,+2.1875000E+00,+3.3625000E+00,+2.9937501E+00
+9.3600E-03,+2.0000000E+00,+3.1750000E+00,+2.7750001E+00
+9.3700E-03,+1.8437500E+00,+2.9562500E+00,+2.4937501E+00
+9.3800E-03,+1.6875000E+00,+2.7375000E+00,+2.1812501E+00
+9.3900E-03,+1.5625000E+00,+2.4875000E+00,+1.8687501E+00
+9.4000E-03,+1.5625000E+00,+2.1750000E+00,+1.6187501E+00
